1900	14	0.484
1909	23	0.665
1917	39	0.731
1920	25	0.599
1923	46	0.651
1924	16	1.000
1925	25	0.684
1926	42	0.715
1927	24	0.687
1928	69	0.723
1929	32	0.658
1930	56	0.636
1931	33	0.607
1932	54	0.607
1933	43	0.762
1935	18	0.649
1936	81	0.657
1937	40	0.657
1938	63	0.479
1939	13	0.687
1942	13	1.000
1943	20	0.466
1944	36	0.364
1945	87	0.600
1946	28	0.426
1947	25	0.857
1948	32	0.520
1949	66	0.666
1950	55	0.657
1951	118	0.811
1952	70	0.688
1953	97	0.599
1954	131	0.529
1955	104	0.698
1956	258	0.607
1957	214	0.564
1958	318	0.614
1959	325	0.601
1960	206	0.687
1961	291	0.732
1962	395	0.584
1963	536	0.524
1964	372	0.534
1965	662	0.560
1966	587	0.534
1967	645	0.514
1968	747	0.578
1969	999	0.529
1970	878	0.541
1971	840	0.542
1972	1530	0.572
1973	1321	0.553
1974	1121	0.544
1975	1341	0.549
1976	1549	0.572
1977	1625	0.532
1978	1497	0.587
1979	1711	0.588
1980	1879	0.557
1981	1547	0.557
1982	1486	0.586
1983	1689	0.550
1984	2056	0.600
1985	2008	0.570
1986	2277	0.551
1987	2480	0.571
1988	3134	0.544
1989	3308	0.549
1990	4669	0.573
1991	5356	0.573
1992	6649	0.559
1993	7539	0.585
1994	9464	0.565
1995	11469	0.576
1996	12796	0.561
1997	14785	0.570
1998	15065	0.570
1999	18361	0.566
2000	21100	0.568
2001	23657	0.554
2002	25312	0.554
2003	28964	0.550
2004	32606	0.551
2005	41211	0.561
2006	46723	0.552
2007	46147	0.556
2008	42127	0.545
2009	37279	0.551
2010	36348	0.544
2011	36602	0.551
2012	36502	0.547
2013	39656	0.553
2014	36730	0.567
2015	38031	0.572
2016	38701	0.571
2017	41117	0.573
2018	46976	0.592
2019	57686	0.602
2020	59161	0.638
