id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
0M1gwTvaarPGXGrEHrxFGE,The Saintly Alan Greenspan,Case Studies In Hypocrisy: U.S. Human Rights Policy,1ACbDFLfieVWEHIjNidDnX,['Noam Chomsky'],['5NEnjDZdPKESN9J7NoPmdz'],7,1,False,0.638,0.644,11,-10.569,1,0.835,0.889,0.0,0.294,0.5,129.506,87707,5.0,2000,2000
36J67Uww4phqJiXYfCHJU7,The Secret Code (After Op. 28),The Anton Webern Project,10x6bXTh23EDox39rq0kRM,"[""John O'Gallagher"", 'Johannes Weidenmüller', 'Margret Grebowicz', 'Matt Moran', 'Pete McCann', 'Russ Lossing', 'Tyshawn Sorey']","['2G20jNR1G4aQ7Sz02fX0hq', '18T7dXeCQsvlKbXceaHTq0', '15kcL1vJo6Iid9V28IaUk8', '2vi8K7KcSB3zTYsfTlPHm2', '5zUcFoJTUD8KinLh8uunXI', '4KkAtrwOlsu961qyS9mB23', '0j2falzYTCLSgKpGKQipQu']",6,1,False,0.49,0.39299999999999996,1,-9.818999999999999,1,0.0427,0.348,0.0702,0.107,0.433,102.065,483000,3.0,2013,2013-08-25
3cumoI3Q2tOe6E6qCO4SaI,La Fiesta,Sin Vergüenza,1pMS2jWNQNFFiWNkpmUeT8,"['116', 'Lecrae', 'Funky']","['7tTsvTUJ7lXBezazP5jU72', '1CFCsEqKrCyvAFKOATQHiW', '4B4YYJ0BAYBK86yxqQV7mu']",5,1,False,0.772,0.813,9,-4.371,1,0.0677,0.0117,1.4099999999999999e-05,0.0824,0.524,100.022,212651,4.0,2020,2020-10-23
6SPAxccbKriNep9BwyIh0H,When I Hear There She Goes (I Fall To Pieces),The Texas Twister,0ljW1m0RnWWL1DxCHeZltf,['Donald Fuller'],['3Ec5mgzoxyalvRGe4AQTFe'],1,1,False,0.693,0.268,0,-11.765999999999998,1,0.0292,0.687,9.31e-05,0.122,0.233,129.846,190080,4.0,2007,2007-08-23
0tyXMNhYjCvYRpozpkOLfR,Factory Direct,All-Time Quarterback,2u4VUK4R64zGfqMcsBpZlp,['All-Time Quarterback'],['6ET8MURTVBf6SYHnBYmtoG'],7,1,False,0.85,0.5820000000000001,11,-10.704,0,0.0801,0.95,0.847,0.149,0.9690000000000001,122.23299999999999,120747,4.0,2002,2002
56aaP4iXFxUcils8m0JrQx,Bach Variations: Theme,"DESSAU, P.: Orchestral Music, Vol. 1 - In memoriam Bertolt Brecht / Bach Variations / Orchestermusik No. 2, ""Meer der Sturme"" (Dessau, Kegel, Herbig)",3N06MNAppi81ghdAPyrPpI,"['Paul Dessau', 'Gewandhausorchester Leipzig']","['1akEXB2e2ObGj1Exx4Xf20', '0SlNRZ8zBLAgyB1lsoYxAa']",5,1,False,0.38799999999999996,0.27899999999999997,3,-11.004000000000001,1,0.0314,0.978,0.9520000000000001,0.4270000000000001,0.253,137.72899999999998,72760,4.0,1966,1966
55IzHhaawYvU41rDQ7jf5q,Twilight Calling,Vitus Dance,0QbHTRr3UfvBoTReTxt9QA,['Gaia Consort'],['1AJXK4InICD9BG5gM3mMcS'],1,1,False,0.557,0.578,7,-8.881,0,0.0329,0.10099999999999999,0.00135,0.203,0.45899999999999996,108.836,295293,4.0,2007,2007-07-19
7xgQRP97VP0bDWGomiLcfh,We Own the Night,We Own the Night,0IdR2DcqLQtvX3ICFtQDMi,['Scene of Irony'],['7C8kMXlBa3sxJOgKvkUtm3'],6,1,False,0.0872,0.9940000000000001,4,-4.137,1,0.128,1.95e-05,1.75e-05,0.35100000000000003,0.33,180.015,194440,4.0,2013,2013-03-24
1PL9mLYYECv7i2UroqYETe,Fly to Heaven,The Best of DJ Krush,7pc16O4jVabCkTB47nXbu5,"['DJ Krush', 'M. Caroselli']","['1e9DNqnNE39KIelREBylPn', '6I3LluIIiddXOjdUJlBzcL']",2,1,False,0.7240000000000001,0.8370000000000001,8,-6.141,1,0.0621,9.65e-05,0.879,0.11699999999999999,0.253,168.02200000000005,200000,4.0,2020,2020-10-02
39hDo2EqdivCv7vLaT0omc,Napoleon,Bring Me Home,4hxdqYRBgdTduYFWhnnjST,['Peggy Seeger'],['0gXQn7UrpopDb2TIkmIjoU'],4,1,False,0.425,0.226,5,-9.273,1,0.0279,0.815,0.0,0.109,0.192,144.792,223267,4.0,2008,2008-01-22
